feature,importance
target_lag_1,0.5366714559613921
target_lag_3,0.11162373891723949
target_lag_6,0.09846610740585578
temp_max_c_lag_2,0.06828564841629012
temp_min_c,0.06450431038248428
temp_max_c,0.044369489378085644
temp_min_c_lag_1,0.011927795206876729
fog_days_count_lag_1,0.011596290814865896
temp_min_c_lag_2,0.011162801317956352
wet_days_count_lag_2,0.011063631224854369
wet_days_count,0.008440296002045038
fog_days_count,0.006627591095135011
wet_days_count_lag_1,0.005967552201386939
fog_days_count_lag_2,0.005666527924642733
temp_max_c_lag_1,0.003626763750889638
