week_ending,baseline_forecast,multivariate_forecast
2026-01-01,424426.9973571468,416622.2039545808
2026-02-01,413492.49463154306,410283.54198650713
2026-03-01,409853.38787783176,430661.6203598607
2026-04-01,419846.4701440718,436290.3355718742
2026-05-01,421133.25094521465,425499.8790787333
2026-06-01,418553.4878305745,421523.50366516213
2026-07-01,416482.3081033266,418594.25634885946
2026-08-01,412509.49433312484,417776.0648947726
2026-09-01,412488.17754303035,421523.50366516213
2026-10-01,414723.1242762337,421523.50366516213
2026-11-01,413984.5899267148,421523.50366516213
2026-12-01,414367.7246719218,418594.25634885946
